customer_id,customer,product,price,city
101,Vaibhav,Laptop,550000,Pune
102,Rahul,Moblie,25000,Pune
103,Anaa,Headphone,NaN,Kolkata
104,Monish,Laptop,65000,Pune
105,Diana,Mobile,20000,Manipur
106,Rahul,Mobile,28000,Pune
107,Monalisa,Laptop,75000,Nagpur
108,Linda,Headphone,2000,Mumbai
109,Tom,Laptop,NaN,Mumbai
110,Sherlock,Mobile,25000,Delhi
111,Rahul,Moblie,27000,Pune
112,Diana,Laptop,NaN,Manipur
113,Vaibhav,Laptop,550000,Pune
114,Alice,Tablet,32000,Mumbai
115,Bob,Mobile,25000,pune
116,Charlie,Headphone,1800,Mumbai
117,Eve,Laptop,72000,Nagpur
118,Rahul,Mobile,-5000,Pune
119,Tom,Laptop,750000,Delhi
120,Sara,Headphone,NaN,Kolkata
